EXCH_ID	SEGMENT	SECURITY_ID	ISIN	INSTRUMENT	UNDERLYING_SECURITY_ID	UNDERLYING_SYMBOL	SYMBOL_NAME	DISPLAY_NAME	INSTRUMENT_TYPE	SERIES	LOT_SIZE	SM_EXPIRY_DATE	STRIKE_PRICE	OPTION_TYPE	TICK_SIZE	EXPIRY_FLAG	BRACKET_FLAG	COVER_FLAG	ASM_GSM_FLAG	ASM_GSM_CATEGORY	BUY_SELL_INDICATOR	BUY_CO_MIN_MARGIN_PER	SELL_CO_MIN_MARGIN_PER	BUY_CO_SL_RANGE_MAX_PERC	SELL_CO_SL_RANGE_MAX_PERC	BUY_CO_SL_RANGE_MIN_PERC	SELL_CO_SL_RANGE_MIN_PERC	BUY_BO_MIN_MARGIN_PER	SELL_BO_MIN_MARGIN_PER	BUY_BO_SL_RANGE_MAX_PERC	SELL_BO_SL_RANGE_MAX_PERC	BUY_BO_SL_RANGE_MIN_PERC	SELL_BO_SL_MIN_RANGE	BUY_BO_PROFIT_RANGE_MAX_PERC	SELL_BO_PROFIT_RANGE_MAX_PERC	BUY_BO_PROFIT_RANGE_MIN_PERC	SELL_BO_PROFIT_RANGE_MIN_PERC	MTF_LEVERAGE
NSE	D	68029	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-68000-CE	BANKNIFTY 28 AUG 68000 CALL	OP	NA	35	8/28/2025	68000	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68030	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-68000-PE	BANKNIFTY 28 AUG 68000 PUT	OP	NA	35	8/28/2025	68000	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68031	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-68100-CE	BANKNIFTY 28 AUG 68100 CALL	OP	NA	35	8/28/2025	68100	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68032	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-68100-PE	BANKNIFTY 28 AUG 68100 PUT	OP	NA	35	8/28/2025	68100	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68033	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-68200-CE	BANKNIFTY 28 AUG 68200 CALL	OP	NA	35	8/28/2025	68200	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68034	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-68200-PE	BANKNIFTY 28 AUG 68200 PUT	OP	NA	35	8/28/2025	68200	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68035	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-68300-CE	BANKNIFTY 28 AUG 68300 CALL	OP	NA	35	8/28/2025	68300	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68036	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-68300-PE	BANKNIFTY 28 AUG 68300 PUT	OP	NA	35	8/28/2025	68300	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68037	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-68400-CE	BANKNIFTY 28 AUG 68400 CALL	OP	NA	35	8/28/2025	68400	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68038	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-68400-PE	BANKNIFTY 28 AUG 68400 PUT	OP	NA	35	8/28/2025	68400	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68039	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-68500-CE	BANKNIFTY 28 AUG 68500 CALL	OP	NA	35	8/28/2025	68500	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68040	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-68500-PE	BANKNIFTY 28 AUG 68500 PUT	OP	NA	35	8/28/2025	68500	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68041	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-68600-CE	BANKNIFTY 28 AUG 68600 CALL	OP	NA	35	8/28/2025	68600	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68042	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-68600-PE	BANKNIFTY 28 AUG 68600 PUT	OP	NA	35	8/28/2025	68600	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68043	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-68700-CE	BANKNIFTY 28 AUG 68700 CALL	OP	NA	35	8/28/2025	68700	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	68044	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-68700-PE	BANKNIFTY 28 AUG 68700 PUT	OP	NA	35	8/28/2025	68700	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
